,count
Sydney,13215
Melbourne,10664
Brisbane,4323
Auckland,3428
Perth,2946
Adelaide,1434
ACT,1382
Wellington,1154
"Newcastle, Maitland & Hunter",886
Canterbury,718
Gold Coast,688
Waikato,427
Mackay & Coalfields,413
South West Coast VIC,404
"Port Hedland, Karratha & Pilbara",375
Northern QLD,353
"Wollongong, Illawarra & South Coast",316
Cairns & Far North,306
Sunshine Coast,303
Bay of Plenty,302
Darwin,269
Otago,255
Toowoomba & Darling Downs,252
Gosford & Central Coast,236
Hobart,218
Blue Mountains & Central West,180
Hawkes Bay,177
"Bendigo, Goldfields & Macedon Ranges",172
Wagga Wagga & Riverina,171
Manawatu,159
Dubbo & Central NSW,157
Rockhampton & Capricorn Coast,153
"Kalgoorlie, Goldfields & Esperance",153
Gladstone & Central QLD,143
Ballarat & Central Highlands,143
Lismore & Far North Coast,133
Mornington Peninsula & Bass Coast,133
Tamworth & North West NSW,130
Shepparton & Goulburn Valley,127
Coffs Harbour & North Coast,124
Northland,121
Albury Area,120
Bunbury & South West,120
Port Macquarie & Mid North Coast,106
Western QLD,106
Yarra Valley & High Country,104
West Gippsland & Latrobe Valley,102
Southern Highlands & Tablelands,101
Mildura & Murray,96
Tasman,91
Bairnsdale & Gippsland,87
Launceston & North East,84
Taranaki,79
"Geraldton, Gascoyne & Midwest",77
Broome & Kimberley,76
Hervey Bay & Fraser Coast,72
Bundaberg & Wide Bay Burnett,72
Southland,60
Alice Springs & Central Australia,58
Devonport & North West,57
Asia Pacific,49
Mandurah & Peel,46
Horsham & Grampians,45
Whyalla & Eyre Peninsula,44
Marlborough,44
Far West & North Central NSW,43
Adelaide Hills & Barossa,40
Katherine & Northern Australia,40
Albany & Great Southern,37
Mt Gambier & Limestone Coast,36
Richmond & Hawkesbury,33
Northam & Wheatbelt,32
Gisborne,29
Yorke Peninsula & Clare Valley,25
Riverland & Murray Mallee,23
Coober Pedy & Outback SA,20
West Coast,19
"Tumut, Snowy & Monaro",18
Somerset & Lockyer,18
London,15
Fleurieu Peninsula & Kangaroo Island,12
Central & South East TAS,10
Middle East & Africa,4
Americas,4
Ireland,1
Europe & Russia,1
Rest of the UK,1
