,count
Other,2688
Management,1618
Administrative Assistants,1131
Developers/Programmers,1072
Sales Representatives/Consultants,1038
"Warehousing, Storage & Distribution",907
Automotive Trades,901
Chefs/Cooks,802
Retail Assistants,726
Business/Systems Analysts,637
Nursing - Aged Care,620
"Physiotherapy, OT & Rehabilitation",614
Management - Store,608
Government - State,579
Childcare & Outside School Hours Care,575
Project Management,557
Aged & Disability Support,551
New Business Development,548
Mining - Engineering & Maintenance,535
Customer Service - Call Centre,533
Account & Relationship Management,531
Civil/Structural Engineering,507
Programme & Project Management,476
Electricians,441
"Fitters, Turners & Machinists",421
Engineering - Software,419
Road Transport,401
Business Services & Corporate Advisory,397
Foreperson/Supervisors,394
Financial Accounting & Reporting,391
Government - Local,384
Residential Leasing & Property Management,380
Help Desk & IT Support,370
Labourers,369
Mining - Operations,356
Recruitment - Agency,352
Government - Federal,350
"PA, EA & Secretarial",349
Technicians,341
Analysis & Reporting,330
Consulting & Generalist HR,318
Receptionists,300
"Psychology, Counselling & Social Work",298
Plant & Machinery Operators,294
"Child Welfare, Youth & Family Services",292
Welders & Boilermakers,288
Dental,279
Nursing - General Medical & Surgical,275
Networks & Systems Administration,274
Teaching - Early Childhood,267
Consultants,267
Marketing Communications,264
Machine Operators,263
Bar & Beverage Staff,263
Estimating,262
Payroll,256
Digital & Search Marketing,247
Legal Secretaries,246
Carpentry & Cabinet Making,246
Architects,243
Medical Administration,243
Teaching - Secondary,242
Management - Department/Assistant,241
Waiting Staff,240
Client & Sales Administration,239
Assembly & Process Work,232
Pharmacy,227
Hair & Beauty Services,221
Contracts Management,213
General Practitioners,211
Accounts Officers/Clerks,210
Compliance & Risk,209
Electrical/Electronic Engineering,209
Building Trades,208
Testing & Quality Assurance,202
Government,198
Accounts Payable,195
Marketing Assistants/Coordinators,186
"Couriers, Drivers & Postal Services",186
Financial Managers & Controllers,185
"Purchasing, Procurement & Inventory",182
Accounts Receivable/Credit Control,180
Gardening & Landscaping,179
"Production, Planning & Scheduling",179
Management Accounting & Budgeting,178
Office Management,173
Teaching - Vocational,165
"Health, Safety & Environment",165
Plumbers,160
Medical Imaging,160
Financial Planning,159
Customer Service - Customer Facing,153
Security,153
Employment Services,151
Recruitment - Internal,150
Building Services Engineering,150
Travel Agents/Consultants,149
Database Development & Administration,148
Pharmaceuticals & Medical Devices,147
Engineering - Network,147
Medical Specialists,144
Security Services,142
Teaching - Primary,141
Maintenance & Handyperson Services,139
Taxation,138
Mechanical Engineering,138
Product Management & Development,136
Surveying,136
Kitchen & Sandwich Hands,136
Body Corporate & Facilities Management,134
Quality Assurance & Control,132
Architecture,131
Claims,131
Air Conditioning & Refrigeration,131
Corporate & Commercial Law,126
Fitness & Personal Training,126
Front Office & Guest Services,125
Sales,125
Pickers & Packers,124
Sales - Outbound,123
Occupational Health & Safety,123
Assistant Accountants,120
Residential Sales,119
Cleaning Services,118
Community Development,115
General/Business Unit Manager,114
Student Services,111
"Nursing - A&E, Critical Care & ICU",109
Sales - Pre & Post,107
Litigation & Dispute Resolution,106
Engineering Drafting,105
Freight/Cargo Forwarding,104
Team Leaders/Supervisors,103
Nursing - Management,101
