term,score
work,0.048283898100654615
experience,0.03988404500691589
team,0.036099110140269806
role,0.03531134678116659
service,0.028893127086550677
customer,0.028572272911812968
skill,0.028157081570860918
business,0.028125745339061287
client,0.02738655674557608
project,0.02734671854025102
opportunity,0.025384801522214135
management,0.02413233383135352
support,0.02321131534761254
provide,0.02277896115503724
apply,0.022362826309910572
ability,0.021399214112416753
include,0.02119650979835939
company,0.02095768106192161
position,0.019935889751044798
new,0.01960461780604194
strong,0.018936213333373916
people,0.01837569497333077
environment,0.018364533187964903
look,0.018324837750199937
sale,0.018260382794754955
