term,score
accounting,0.07630116257172156
financial,0.07057743825432915
payroll,0.0632033258413468
business,0.053853027113054626
finance,0.05369531672384795
tax,0.05227265039206074
account,0.05051307153296989
accountant,0.04992849427593742
role,0.0470195621672157
client,0.046376353877175334
firm,0.04279087066398
work,0.042434974901851205
experience,0.04173977295563095
team,0.038526309815625145
report,0.03522061807219308
reporting,0.034429494594805446
skill,0.033565682184066054
cpa,0.032489102304390366
end,0.03224775354413421
reconciliation,0.031837231628795704
payable,0.0317414461740551
audit,0.03166110703713449
management,0.03163187488044491
process,0.02982308638820019
company,0.028283894573680364
