term,score
administration,0.06051008651485421
office,0.059020451473942546
role,0.04949137995532209
work,0.049084011146993525
skill,0.04669142278633209
support,0.044864232761896716
team,0.04373484999460859
customer,0.04317006550939982
experience,0.03801331662561287
administrative,0.037703590352383215
service,0.0375141165698418
client,0.03520234327027804
management,0.034687106990081755
ability,0.031533349513310785
include,0.029626691465470745
provide,0.028854897093988977
duty,0.027935041879377093
business,0.02780937123174969
require,0.026737199867375494
task,0.026722153229693266
time,0.02592081475807285
detail,0.02547408682571672
apply,0.024971384207262894
meeting,0.024673676012780983
excellent,0.024620243852160405
