term,score
medium,0.08318364430691479
agency,0.060989864803448125
client,0.060930270332620724
digital,0.06059480206101376
campaign,0.05130696068011608
content,0.05028511167844672
creative,0.04664336637614384
work,0.042954785713585616
event,0.04196855738542727
account,0.0401251365181975
team,0.039614914452583645
marketing,0.037460719341162046
experience,0.03391492539846552
media,0.032540980222986
brand,0.03193995074133604
video,0.02974509612564011
role,0.02916147632111434
production,0.028588235219602992
advertising,0.027884187712700764
project,0.02721011994306835
news,0.02656666155333778
manage,0.02645475494989422
social,0.02638842370861739
skill,0.026177726542315854
business,0.02512376985570258
