term,score
financial,0.09286525479629557
risk,0.062676884226172
client,0.057458007770991616
business,0.054254218406443185
compliance,0.04989714332980362
banking,0.04808644214707158
customer,0.046459672393845845
role,0.04105476546301815
experience,0.03880806534001197
team,0.03844508733973953
advice,0.03785271208908526
management,0.03740722072487804
work,0.036944545206037724
bank,0.03681594185740657
service,0.03638001014537524
finance,0.0355416643669883
lending,0.03475482569207523
credit,0.03323471524634342
investment,0.03237402612131127
skill,0.030564882626875917
provide,0.03043129667288435
loan,0.029732943523978126
opportunity,0.029563385858578418
strong,0.02817531814845948
product,0.02737723771807659
