term,score
business,0.06517174451905937
management,0.05855779287908674
strategic,0.05216543775550658
leadership,0.04680271424572091
executive,0.044835888017192356
service,0.039172215481287964
role,0.03745966053968961
lead,0.0350887046984848
team,0.034422581355949784
experience,0.03411144780974997
organisation,0.032982164724406515
operational,0.032007610741981336
people,0.030670519284154468
manage,0.03034395705901476
board,0.02990284643255256
health,0.0294156924965522
performance,0.029250758426230393
chief,0.02877516285247321
work,0.02867734137642117
develop,0.028513815767925672
manager,0.0283561773349708
financial,0.028096017123627748
community,0.02742348729486492
position,0.02711745070769106
include,0.02681213416337422
