term,score
customer,0.15960607111982
service,0.08335162655905722
sale,0.052834148667275996
team,0.05274939477256258
work,0.050917987284934414
role,0.04419149228396313
skill,0.042648772946222005
experience,0.04043272153034818
centre,0.03929461851705989
provide,0.03543732680584366
client,0.03445687030960022
call,0.033942812765893206
phone,0.03327596322638212
company,0.03099158357840059
opportunity,0.030463561962574968
product,0.02898199037700376
environment,0.028691225097767316
ability,0.028585326422629793
inbound,0.028142081631431594
new,0.02813316808879284
outbound,0.02778182424279906
business,0.02740952231244746
contact,0.026563537647685116
support,0.02646268364274823
excellent,0.026447554851958325
