term,score
care,0.08308000744116566
community,0.08027978318935884
support,0.07789731559634487
people,0.07672926329978126
disability,0.07325380399959287
work,0.058911019077718244
service,0.050326390115272984
child,0.048656465723682055
employment,0.03983089818593848
family,0.03908443819911264
provide,0.037764981182072443
young,0.03586634847516353
check,0.03560589143440532
home,0.03471736823290986
client,0.03358265286654942
role,0.032914445977156925
experience,0.032838944156288075
life,0.03270905165740361
social,0.03088863732844512
health,0.03074598983390659
program,0.02982083760699927
position,0.029231843431745952
current,0.029094414563423383
worker,0.028771021098417837
team,0.028634509437474823
