term,score
project,0.1467187626694497
construction,0.09329027044148704
work,0.05931100284548308
site,0.05188404575829297
experience,0.0479985177396735
commercial,0.04157975679533017
company,0.04087024282845759
civil,0.04061553295291721
role,0.038182780915637114
client,0.038172468141788235
contractor,0.0375521140568429
management,0.03454158955859428
team,0.03175157696491992
manager,0.030672440853433305
building,0.029063593222813447
year,0.02640852557772034
builder,0.026215553555906528
contract,0.02585194344002697
safety,0.025521173362564722
manage,0.025268446919962613
opportunity,0.024705338526755136
strong,0.024654878965440993
skill,0.024570700269411227
apply,0.022043472700697543
subcontractor,0.021766954104336544
