term,score
change,0.07299546598118382
business,0.06940245274750859
project,0.06258840814820878
management,0.04909400390305004
experience,0.04399707229806009
work,0.04378830807070566
stakeholder,0.03772601449930224
client,0.036398894937643034
role,0.036087002816161735
team,0.03350317310017505
skill,0.0317199331294745
strategy,0.03118876349305559
development,0.03072812565714237
support,0.03032715504474322
opportunity,0.030081267174099625
process,0.029483518906076048
strategic,0.029422065459973917
lead,0.028600701099568106
people,0.028278372616650713
organisation,0.028098905224933204
analysis,0.02711144020570544
transformation,0.026999760399750015
develop,0.02670391095497722
strong,0.026557748863858623
program,0.025347656399605432
