term,score
design,0.17020658168746106
project,0.09335985328816586
designer,0.05912619429670715
work,0.058186400124486976
experience,0.05033297225621303
team,0.044136949243723606
revit,0.043770026833877616
creative,0.04254839598361114
architect,0.039871517433040085
client,0.039010428326916556
architectural,0.03837778205237538
role,0.034703908856117745
skill,0.032111480160985584
studio,0.032106750912986294
architecture,0.031419821927816054
graphic,0.029396935095159605
digital,0.028916508952733132
user,0.028093650856458853
interior,0.02778381098181306
concept,0.026971625141789357
opportunity,0.026134477396736185
practice,0.025797326513525308
adobe,0.025717312169942
documentation,0.025306573626815706
residential,0.024769219296505975
