term,score
project,0.11876015904112894
engineering,0.09608526749563587
design,0.07370005532599247
engineer,0.06542634497974632
civil,0.056090619737366176
work,0.05316787637449433
experience,0.04374798786599469
team,0.03829146904546074
client,0.0338739051686608
technical,0.033174341873074636
structural,0.03234195168083645
role,0.03221628162855803
mechanical,0.030642594084053877
electrical,0.030361181699805014
management,0.02920178424437262
opportunity,0.028630155580930884
company,0.026518198753428552
infrastructure,0.026011347178174885
construction,0.02582314393560092
skill,0.025731647957009874
system,0.025553669882949014
consultancy,0.02524471488806037
development,0.025038538679579305
building,0.024475826102286175
maintenance,0.02374637236298213
