term,score
farm,0.06295875585426511
animal,0.057344219564542706
work,0.04441937619591086
veterinary,0.03611156840392272
role,0.03308735809159862
experience,0.03059337282950361
team,0.027786331613884472
management,0.026664613282433552
position,0.02647860224596345
conservation,0.02627079061462944
research,0.025246429035594965
cattle,0.024747887753947963
livestock,0.024604452534040765
pest,0.02458753113174301
require,0.024515348966198534
farming,0.022710332177829657
operation,0.022599352905767395
science,0.022578726367909304
crop,0.022239824483721502
include,0.021799215269018676
skill,0.021605845543030428
pet,0.021602079495420205
applicant,0.020555574429088706
plant,0.02041887546243872
new,0.019716642647688895
