term,score
work,0.04363722532376544
council,0.04349723917284547
health,0.03953847722028336
role,0.03878730508583578
position,0.037316719996344026
information,0.03356047950902186
service,0.03316362344101953
application,0.032649403773472
people,0.03151177579760382
community,0.03073149235276155
project,0.030697696393710866
provide,0.030507426697088853
government,0.029925367491530255
support,0.029908789120462815
management,0.02872913803552788
team,0.028395797409234362
include,0.028325121633187424
apply,0.028198563740356813
experience,0.027840428312494177
policy,0.026747874552355742
description,0.025749080130026334
city,0.025267193119234366
opportunity,0.023890433764589863
skill,0.023596421479824575
nsw,0.022516215817753284
