term,score
care,0.0969630756749701
health,0.06670628009140511
patient,0.05476074532958364
clinical,0.051969750592540845
work,0.045662438607640576
aged,0.0404078736847004
nurse,0.03823709333130709
service,0.035685283615682316
team,0.034363010321583835
practice,0.03384041968346278
medical,0.03341664940350127
hospital,0.03325404362419886
provide,0.03249549518815597
experience,0.03040910572493999
support,0.028438020868053953
role,0.028402047316278357
nursing,0.02745108767785365
position,0.02581762505649614
community,0.025559306578060687
opportunity,0.025503950547040483
skill,0.025487499687365266
time,0.02493879660152421
professional,0.02493692167534261
registration,0.024870346195487766
dental,0.024746220433767445
