term,score
food,0.07064900674479846
restaurant,0.054746116852072195
work,0.05067402034119973
chef,0.05011750731724354
kitchen,0.048935183116965514
cook,0.045937050875872215
team,0.043537153375465765
hotel,0.043163620823856115
experience,0.04266624652568459
cafe,0.040002780570356035
weekend,0.03936362164439695
day,0.03647598114165536
hospitality,0.03482749094063621
role,0.033815414405484204
service,0.03379049069652158
guest,0.03378355510532946
week,0.03329889995098253
hour,0.032016361834368554
venue,0.0316054797599975
barista,0.03140013751138801
customer,0.03069017913032426
right,0.029619938913396635
join,0.028118114023788804
seek,0.027850192897760945
bar,0.02753856666242108
