term,score
experience,0.06012091840491131
project,0.05424140820177214
business,0.049762734033118775
technology,0.04667876452376576
work,0.044686146330834224
solution,0.03950341273017226
technical,0.03846559308840168
team,0.03655160995601136
software,0.035901816106503295
design,0.03408699849215358
development,0.03319195899725556
role,0.03225019424110822
system,0.03203661138455615
support,0.03156227130572753
skill,0.030863402179025376
client,0.03017151929487897
management,0.0283681000175077
security,0.027591591929099334
service,0.027303605057904815
developer,0.027211685560175208
application,0.02688364429202102
customer,0.02653752802290301
datum,0.025718902593119156
agile,0.024819723647422937
data,0.024485340656561938
