term,score
claim,0.17469476509895474
insurance,0.1415381556263365
client,0.051374606417937674
work,0.04763621712140302
broker,0.047259688133929154
claims,0.04531436440401587
customer,0.0449597689465219
portfolio,0.04292536787600169
broking,0.04146529952242752
team,0.04035658739000528
business,0.0399417332101772
experience,0.039347683033957415
service,0.03890536661644952
compensation,0.03795106495692646
role,0.03778220484263428
management,0.03651352650092975
opportunity,0.03464256608106016
manage,0.03459283538812705
skill,0.032725460806276176
provide,0.03153607218863725
support,0.029732360836130005
life,0.027723762416575457
insurer,0.0274695353779804
company,0.026934167692555924
underwriting,0.026874854357579393
