term,score
legal,0.13677237391202327
firm,0.1340382247327749
law,0.1121792804567701
lawyer,0.0825236487748468
client,0.05974286294406872
work,0.05182467196729997
litigation,0.046811519262293724
commercial,0.04388263314151645
property,0.04213818607236519
matter,0.04148597007390709
role,0.03928952733273185
team,0.03869182374782816
practice,0.03712239030352129
secretary,0.03375894168620723
experience,0.032512879288699705
opportunity,0.03041094142841623
partner,0.028755871334361156
skill,0.02793404428646425
corporate,0.02744910584272324
dispute,0.02645187935206689
career,0.02575269225253956
year,0.025146267172452733
include,0.024679796913301934
file,0.023767101187551813
document,0.02293162930471119
