term,score
work,0.05398818028379896
forklift,0.048398462933701134
warehouse,0.044849658827162436
experience,0.040212545242383116
role,0.0360223640031435
customer,0.03276529472371988
team,0.030366370099699922
driver,0.029929844264769665
transport,0.02884610872206546
shift,0.027993626426867584
production,0.02735013564985746
skill,0.027053585449600893
licence,0.026946305843087315
require,0.026660128919549296
company,0.02652965431985103
product,0.025236077271733083
truck,0.024767464747028314
apply,0.024089662902956457
good,0.024009467295375495
position,0.02320814902107539
manufacturing,0.022227223360152447
start,0.022112374233370573
ability,0.02209222323420176
opportunity,0.022030889581378364
environment,0.021697698073567997
