term,score
marketing,0.18404743564995596
digital,0.07494069586244581
campaign,0.06831130723133882
content,0.06744907405584644
medium,0.0652058379308459
social,0.050329871135885745
brand,0.043895649262837205
experience,0.042983429024309426
work,0.04281947175735169
strategy,0.042720174311572316
communication,0.04221259219245027
event,0.039100262738582546
role,0.03858072990117132
team,0.037471878146187985
business,0.03719151835034606
manage,0.033101131565551806
product,0.032410814459915865
management,0.03115954865724027
develop,0.03078251370615651
skill,0.03074435548516896
channel,0.02978162723794455
customer,0.029267298122910096
client,0.027889736511390553
communications,0.027732975863839274
include,0.027489975833845524
