term,score
mining,0.09281338167986515
work,0.049525388895053424
underground,0.04439842098000634
experience,0.04302960447510022
maintenance,0.04072258096586003
site,0.038366457267449895
safety,0.0360417720186174
roster,0.03585956077132921
role,0.03324552331112698
project,0.03295138737884141
plant,0.032284735705232465
equipment,0.03201267147324096
fifo,0.029148174255820645
coal,0.027861656158856735
operation,0.02738373917945118
opportunity,0.02726908079754697
company,0.02590907940848535
team,0.02487747682819101
licence,0.024514217339540092
apply,0.024440955914405194
perth,0.02387568433192963
current,0.023526551147804588
australia,0.02333985036653331
trade,0.02275437541065763
medical,0.02199467563244572
