term,score
property,0.18975585487169894
estate,0.09294624534477425
real,0.07067063953960928
management,0.06067525668249563
portfolio,0.051615189338760845
tenant,0.04637144363343743
team,0.04377133860729123
leasing,0.0430967049818
work,0.0423021257335371
manager,0.04224684586389439
role,0.04033165113647118
lease,0.039850584879988236
client,0.03729871209121953
inspection,0.03581172690680854
office,0.035492365250854765
experience,0.03523865215907615
manage,0.03418906846363101
sale,0.03270322694863467
skill,0.029706038490468913
service,0.02823305612748896
opportunity,0.026492224597885215
maintenance,0.026436925991020304
agency,0.02625024128964847
com,0.025961634919917386
certificate,0.025733616401096667
