term,score
store,0.1454067590109376
customer,0.0914596591128095
retail,0.08607736959463204
sale,0.07731618104422897
team,0.052203642638169095
brand,0.04915870082462619
fashion,0.042398985935546904
work,0.04209437691166102
product,0.04141001496565307
experience,0.038998474567259515
service,0.038052949205100155
manager,0.03343481187436642
stock,0.031219704064615595
opportunity,0.030741190369507385
role,0.030227224214241732
merchandising,0.030049100219919488
career,0.029998038225599925
retailer,0.029217662466497415
drive,0.028996787965035648
business,0.02821108099071757
management,0.026789222723171465
skill,0.02676696850707065
look,0.02623315609130546
lead,0.02617057360691653
training,0.025826156162225056
