term,score
sale,0.15618035768895083
customer,0.0715775783713518
business,0.06961038945989663
product,0.04844066867333041
new,0.04656226786021607
client,0.04559656664922067
role,0.038704656376112305
account,0.03857545708863064
opportunity,0.03839668444195011
work,0.037484268327762096
company,0.03742339239197415
team,0.037155347959240866
sales,0.03677731892267062
relationship,0.03628852589200978
market,0.03625307344554444
experience,0.03511059848638824
service,0.032970203774392706
industry,0.032203737122297516
skill,0.030945368329607433
target,0.028834986098779873
sell,0.028611624181920193
base,0.028543712283940547
drive,0.028349524961027047
strong,0.02747796306338922
solution,0.0274300237655767
