term,score
science,0.057328667843319324
laboratory,0.05684267389412353
environmental,0.053330262131869505
research,0.051713001043009035
work,0.04249706057207623
food,0.04085541451621524
quality,0.0402047338282358
role,0.03779184197697493
product,0.03467119037520498
scientific,0.033167147851696305
experience,0.0319556748240658
team,0.03155472946525377
technical,0.03006272325772173
project,0.02788732441223497
skill,0.027388785646987518
include,0.024497018553477638
apply,0.02430836092077652
regulatory,0.024170410318354044
management,0.024112503026239244
scientist,0.023636170587068215
opportunity,0.02317659256722872
position,0.02290193482646922
application,0.022748527555294846
development,0.022721941469229533
sample,0.02258530417647918
