term,score
aussie,0.19540740543038335
mortgage,0.10898935490174352
broker,0.0991986937282257
franchise,0.0707813203084201
business,0.05594194840815193
opportunity,0.050108176517207295
paragon,0.04849770147235635
sales,0.045476776660701046
driver,0.042879433172672524
franchisees,0.04170821603027103
earn,0.03936898803376586
network,0.038929298012835886
nsw,0.0388020844129339
bidfood,0.03852426565937664
contract,0.03841871907154662
wollongong,0.038152528434331354
provide,0.03734287506996525
marketing,0.0356409304174782
corinne,0.035491004720751194
916,0.035491004720751194
brokers,0.03528691554455921
necessary,0.03479807735787431
student,0.03442260254194069
panel,0.03348548656513206
fishery,0.03339312310361588
