term,score
fitness,0.18042183852126162
club,0.08248136577835877
trainer,0.07126943598901028
personal,0.05604531132917843
training,0.0542180097315078
member,0.04257425262993943
gym,0.03986232057919536
pt,0.035515850261681345
team,0.033050349734211955
work,0.032543896985228346
coach,0.03221633737650525
sport,0.031932229687789415
program,0.031007710816444444
certificate,0.030206663064205816
aid,0.03000038045198553
f45,0.028211549796309583
studio,0.02819120531921352
membership,0.02722204792638715
experience,0.027017425993319685
cpr,0.025867046087855883
health,0.025262917190726167
role,0.02498950187211842
swim,0.02432002325244978
cricket,0.024228285100781753
group,0.024210982031993705
