term,score
work,0.06315931410664616
experience,0.03787948183208997
maintenance,0.03603649293990159
service,0.031723700944722384
team,0.03138030452065178
trade,0.029718812643718118
repair,0.029196787064281006
vehicle,0.028702861134479264
role,0.0281848794553263
licence,0.028154857181387074
equipment,0.0278249898444072
company,0.027027072258852394
electrical,0.025970910076894345
require,0.024113279722986995
customer,0.023866464742798955
skill,0.023695151423320304
position,0.02309329258523527
opportunity,0.022130490239941396
apply,0.02135555086432917
look,0.02054715866445505
ability,0.020184090418164654
industry,0.019700429764239746
qualified,0.019595475682587085
able,0.019540949353397622
mechanical,0.019518691399822093
